Electrical,Electrical-MV-Switchgear-Meter,Phase-A-Voltage,ns=2;points/PM18$242eVoltageA$242dN,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Phase-B-Voltage,ns=2;points/PM18$242eVoltageB$242dN,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Phase-C-Voltage,ns=2;points/PM18$242eVoltageC$242dN,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Power-factor,ns=2;points/PM18$242eMVSG$2420PowerFactor,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Status,ns=2;points/MVSG$2420ONOFFStatus,float,20,influxdb
Electrical,Electrical-MV-Switchgear,Transformer-01-Status,ns=2;points/OutgoingBreaker01ONOFFStatus,float,20,influxdb
Electrical,Electrical-MV-Switchgear,Transformer-01-Trip-Status,ns=2;points/OutgoingBreaker01TripStatus,float,20,influxdb
Electrical,Electrical-MV-Switchgear,Transformer-02-Status,ns=2;points/OutgoingBreaker02ONOFFStatus,float,20,influxdb
Electrical,Electrical-MV-Switchgear,Transformer-02-Trip-Status,ns=2;points/OutgoingBreaker02TripStatus,float,20,influxdb
Electrical,Electrical-P1-Processing,Energy,ns=2;points/PM23$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,Incoming-Active-Power,ns=2;points/PM5$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,Incoming-Energy,ns=2;points/PM5$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,Incoming-Peak-Demand,ns=2;points/PM5$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP101-Lighting-Active-Power,ns=2;points/PM4$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP101-Lighting-Energy,ns=2;points/PM4$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP101-Lighting-Maximum-Demand,ns=2;points/PM4$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP102-Power-Outlets-Active-Power,ns=2;points/PM3$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP102-Power-Outlets-Energy,ns=2;points/PM3$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP102-Power-Outlets-Maximum-Demand,ns=2;points/PM3$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP103-Active-Power,ns=2;points/PM2$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP103-Peak-Demand,ns=2;points/PM2$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP103-Power-Outlets-Energy,ns=2;points/PM2$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP104-Active-Power,ns=2;points/PM1$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP104-Lighting-Energy,ns=2;points/PM1$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP104-Peak-Demand,ns=2;points/PM1$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP105-Power-Outlets-Active-Power,ns=2;points/PM6$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP105-Power-Outlets-Energy,ns=2;points/PM6$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP105-Power-Outlets-Maximum-Demand,ns=2;points/PM6$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP106-Door-Active-Power,ns=2;points/PM7$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP106-Door-Energy,ns=2;points/PM7$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP106-Door-Maximum-Demand,ns=2;points/PM7$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP107-Battery-Charging-Active-Power,ns=2;points/PM8$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP107-Battery-Charging-Energy,ns=2;points/PM8$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP107-Battery-Charging-Peak-Demand,ns=2;points/PM8$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP108-HVAC-Active-Power,ns=2;points/PM9$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP108-HVAC-Energy,ns=2;points/PM9$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP108-HVAC-Maximum-Demand,ns=2;points/PM9$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP109-HVAC-Active-Power,ns=2;points/PM10$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP109-HVAC-Energy,ns=2;points/PM10$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP109-HVAC-Maximum-Demand,ns=2;points/PM10$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP110-HVAC-Active-Power,ns=2;points/PM11$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP110-HVAC-Energy,ns=2;points/PM11$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP110-HVAC-Maximum-Demand,ns=2;points/PM11$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,LP111-HVAC-Active-Power,ns=2;points/PM12$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,LP111-HVAC-Energy,ns=2;points/PM12$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,LP111-HVAC-Maximum-Demand,ns=2;points/PM12$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,Maximum-Demand,ns=2;points/PM23$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P1-Processing,Power-Factor,ns=2;points/PM23$242ePowerFactor,float,20,influxdb
Electrical,Electrical-P1-Processing,Power,ns=2;points/PM23$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-P1-Processing,UPS-Mixing-Area-Control-Active-Power,ns=2;points/PM13$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-P1-Processing,UPS-Mixing-Area-Control-Energy,ns=2;points/PM13$242eEnergy,float,20,influxdb
Electrical,Electrical-P1-Processing,UPS-Mixing-Area-Control-Peak-Demand,ns=2;points/PM13$242ePeakDemand,float,20,influxdb
Electrical,Electrical-P3-Production,Energy,ns=2;points/PM24$242eEnergy,float,20,influxdb
Electrical,Electrical-P3-Production,Incoming-Active-Power,ns=2;points/PM1$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-P3-Production,Incoming-Energy,ns=2;points/PM1$242eEnergy1,float,20,influxdb
Electrical,Electrical-P3-Production,Incoming-Peak-Demand,ns=2;points/PM1$242ePeakDemand1,float,20,influxdb
Electrical,Electrical-P3-Production,LP101-Lighting-Active-Power,ns=2;points/PM2$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-P3-Production,LP-101-Lighting-Energy,ns=2;points/PM2$242eEnergy1,float,20,influxdb
Electrical,Electrical-P3-Production,LP101-Lighting-Peak-Demand,ns=2;points/PM2$242ePeakDemand1,float,20,influxdb
Electrical,Electrical-P3-Production,LP102-Power-Outlets-Active-Power,ns=2;points/PM3$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-P3-Production,LP-102-Power-Outlets-Energy,ns=2;points/PM3$242eEnergy1,float,20,influxdb
Electrical,Electrical-P3-Production,LP102-Power-Outlets-Peak-Demand,ns=2;points/PM3$242ePeakDemand1,float,20,influxdb
Electrical,Electrical-P3-Production,LP103-HVAC-Active-Power,ns=2;points/PM4$242eActivePowerTotal2,float,20,influxdb
Electrical,Electrical-P3-Production,LP-103-HVAC-Energy,ns=2;points/PM4$242eEnergy1,float,20,influxdb
Electrical,Electrical-P3-Production,LP103-HVAC-Peak-Demand,ns=2;points/PM4$242ePeakDemand3,float,20,influxdb
Electrical,Electrical-P3-Production,LP104-Lighting-Active-Power,ns=2;points/PM5$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-P3-Production,LP-104-Lighting-Energy,ns=2;points/PM5$242eEnergy1,float,20,influxdb
Electrical,Electrical-P3-Production,LP104-Lighting-Peak-Demand,ns=2;points/PM5$242ePeakDemand1,float,20,influxdb
